{'temp_3': b'25', 'Cond1': 'on30h', 'Cond2': 'on30h', 'temp_8': b'25', 'temp_1': b'25', 'temp_9': b'25', 'temp_2': b'24', 'temp_4': b'25', 'temp_6': b'24', 'temp_5': b'25', 'temp_7': b'24', 'temp_10': b'25', 'ttime': b'11.06.2019 18:05:02'}
{'temp_4': b'25', 'temp_8': b'25', 'temp_5': b'25', 'temp_7': b'24', 'temp_2': b'24', 'temp_3': b'25', 'temp_1': b'25', 'temp_9': b'25', 'Cond1': 'on23l', 'Cond2': 'on23l', 'temp_6': b'24', 'temp_10': b'25', 'ttime': b'11.06.2019 18:05:02'}
{'temp_9': b'25', 'temp_6': b'24', 'ttime': b'11.06.2019 18:15:04', 'temp_5': b'25', 'temp_8': b'25', 'temp_10': b'25', 'temp_1': b'25', 'temp_3': b'24', 'temp_2': b'24', 'Cond1': 'on23h', 'Cond2': 'on23h', 'temp_4': b'25', 'temp_7': b'25'}
{'temp_9': 'no conn with mysql', 'temp_6': 'no conn with mysql', 'ttime': '2019-06-11 15:35:32.310213', 'temp_5': 'no conn with mysql', 'temp_8': 'no conn with mysql', 'temp_10': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'Cond1': 'on23h', 'Cond2': 'on16l', 'temp_4': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_9': 'no conn with mysql', 'temp_6': 'no conn with mysql', 'ttime': '2019-06-11 16:11:05.197736', 'temp_5': 'no conn with mysql', 'temp_8': 'no conn with mysql', 'temp_10': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'Cond1': 'on23h', 'Cond2': 'on16h', 'temp_4': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_9': 'no conn with mysql', 'temp_6': 'no conn with mysql', 'ttime': '2019-06-11 16:31:06.414038', 'temp_5': 'no conn with mysql', 'temp_8': 'no conn with mysql', 'temp_10': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'Cond1': 'on23h', 'Cond2': 'on30m', 'temp_4': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_9': 'no conn with mysql', 'temp_6': 'no conn with mysql', 'ttime': '2019-06-11 16:51:07.581839', 'temp_5': 'no conn with mysql', 'temp_8': 'no conn with mysql', 'temp_10': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'Cond1': 'on23h', 'Cond2': 'on30l', 'temp_4': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_9': 'no conn with mysql', 'temp_6': 'no conn with mysql', 'ttime': '2019-06-11 17:11:08.807465', 'temp_5': 'no conn with mysql', 'temp_8': 'no conn with mysql', 'temp_10': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'Cond1': 'on23h', 'Cond2': 'on23m', 'temp_4': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_9': 'no conn with mysql', 'temp_6': 'no conn with mysql', 'ttime': '2019-06-11 17:31:09.940769', 'temp_5': 'no conn with mysql', 'temp_8': 'no conn with mysql', 'temp_10': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'Cond1': 'on23h', 'Cond2': 'off', 'temp_4': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_9': 'no conn with mysql', 'temp_6': 'no conn with mysql', 'ttime': '2019-06-11 17:51:11.119589', 'temp_5': 'no conn with mysql', 'temp_8': 'no conn with mysql', 'temp_10': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'Cond1': 'on23h', 'Cond2': 'on30h', 'temp_4': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_9': 'no conn with mysql', 'temp_6': 'no conn with mysql', 'ttime': '2019-06-11 18:11:12.294045', 'temp_5': 'no conn with mysql', 'temp_8': 'no conn with mysql', 'temp_10': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'Cond1': 'on23h', 'Cond2': 'on16m', 'temp_4': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
