{'temp_8': b'25', 'temp_1': b'25', 'ttime': b'12.06.2019 20:27:38', 'temp_10': b'25', 'temp_5': b'25', 'temp_3': b'24', 'temp_4': b'25', 'Cond1': 'on23l', 'temp_9': b'25', 'Cond2': 'on23l', 'temp_6': b'24', 'temp_2': b'24', 'temp_7': b'24'}
{'temp_8': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'ttime': '2019-06-12 17:49:53.506926', 'temp_10': 'no conn with mysql', 'temp_5': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_4': 'no conn with mysql', 'Cond1': 'on23l', 'temp_9': 'no conn with mysql', 'Cond2': 'on23h', 'temp_6': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_8': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'ttime': '2019-06-12 18:26:55.888345', 'temp_10': 'no conn with mysql', 'temp_5': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_4': 'no conn with mysql', 'Cond1': 'on23l', 'temp_9': 'no conn with mysql', 'Cond2': 'on16h', 'temp_6': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_8': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'ttime': '2019-06-12 18:46:57.120897', 'temp_10': 'no conn with mysql', 'temp_5': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_4': 'no conn with mysql', 'Cond1': 'on23l', 'temp_9': 'no conn with mysql', 'Cond2': 'on30m', 'temp_6': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_8': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'ttime': '2019-06-12 19:06:58.348667', 'temp_10': 'no conn with mysql', 'temp_5': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_4': 'no conn with mysql', 'Cond1': 'on23l', 'temp_9': 'no conn with mysql', 'Cond2': 'off', 'temp_6': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_8': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'ttime': '2019-06-12 19:26:59.579734', 'temp_10': 'no conn with mysql', 'temp_5': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_4': 'no conn with mysql', 'Cond1': 'on23l', 'temp_9': 'no conn with mysql', 'Cond2': 'on30h', 'temp_6': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_8': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'ttime': '2019-06-12 19:47:00.809267', 'temp_10': 'no conn with mysql', 'temp_5': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_4': 'no conn with mysql', 'Cond1': 'on23l', 'temp_9': 'no conn with mysql', 'Cond2': 'on23m', 'temp_6': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_8': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'ttime': '2019-06-12 20:07:02.003412', 'temp_10': 'no conn with mysql', 'temp_5': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_4': 'no conn with mysql', 'Cond1': 'on23l', 'temp_9': 'no conn with mysql', 'Cond2': 'on16l', 'temp_6': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_8': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'ttime': '2019-06-12 20:27:03.183582', 'temp_10': 'no conn with mysql', 'temp_5': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_4': 'no conn with mysql', 'Cond1': 'on23l', 'temp_9': 'no conn with mysql', 'Cond2': 'on30l', 'temp_6': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_8': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'ttime': '2019-06-12 20:47:04.421096', 'temp_10': 'no conn with mysql', 'temp_5': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_4': 'no conn with mysql', 'Cond1': 'on23l', 'temp_9': 'no conn with mysql', 'Cond2': 'on16m', 'temp_6': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_8': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'ttime': '2019-06-12 21:07:06.649306', 'temp_10': 'no conn with mysql', 'temp_5': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_4': 'no conn with mysql', 'Cond1': 'on23h', 'temp_9': 'no conn with mysql', 'Cond2': 'on23l', 'temp_6': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_8': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'ttime': '2019-06-12 21:27:07.791315', 'temp_10': 'no conn with mysql', 'temp_5': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_4': 'no conn with mysql', 'Cond1': 'on23h', 'temp_9': 'no conn with mysql', 'Cond2': 'on23h', 'temp_6': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_8': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'ttime': '2019-06-12 21:47:08.973094', 'temp_10': 'no conn with mysql', 'temp_5': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_4': 'no conn with mysql', 'Cond1': 'on23h', 'temp_9': 'no conn with mysql', 'Cond2': 'on16h', 'temp_6': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_8': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'ttime': '2019-06-12 22:07:10.215474', 'temp_10': 'no conn with mysql', 'temp_5': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_4': 'no conn with mysql', 'Cond1': 'on23h', 'temp_9': 'no conn with mysql', 'Cond2': 'on30m', 'temp_6': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_8': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'ttime': '2019-06-12 22:27:11.443780', 'temp_10': 'no conn with mysql', 'temp_5': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_4': 'no conn with mysql', 'Cond1': 'on23h', 'temp_9': 'no conn with mysql', 'Cond2': 'off', 'temp_6': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_8': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'ttime': '2019-06-12 22:47:12.665775', 'temp_10': 'no conn with mysql', 'temp_5': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_4': 'no conn with mysql', 'Cond1': 'on23h', 'temp_9': 'no conn with mysql', 'Cond2': 'on30h', 'temp_6': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
