{'Cond1': 0, 'Cond2': 0, 'temp_9': '26', 'temp_8': '26', 'temp_4': '25', 'temp_5': '26', 'temp_10': '26', 'ttime': '02.06.2019 19:29:17', 'temp_6': '25', 'temp_1': '25', 'temp_7': '25', 'temp_3': '25', 'temp_2': '25'}
{'Cond1': 1, 'Cond2': 1, 'temp_9': '26', 'temp_8': '26', 'temp_4': '25', 'temp_5': '26', 'temp_10': '26', 'ttime': '02.06.2019 19:29:17', 'temp_6': '25', 'temp_1': '25', 'temp_7': '25', 'temp_3': '25', 'temp_2': '25'}
{'Cond1': 1, 'Cond2': 1, 'temp_9': '26', 'temp_8': '26', 'temp_4': '25', 'temp_5': '26', 'temp_10': '26', 'ttime': '02.06.2019 19:29:17', 'temp_6': '25', 'temp_1': '25', 'temp_7': '25', 'temp_3': '25', 'temp_2': '25'}
{'Cond1': 1, 'Cond2': 0, 'temp_9': '26', 'temp_8': '26', 'temp_4': '25', 'temp_5': '26', 'temp_10': '26', 'ttime': '02.06.2019 19:29:17', 'temp_6': '25', 'temp_1': '25', 'temp_7': '25', 'temp_3': '25', 'temp_2': '25'}
{'Cond1': 1, 'Cond2': 1, 'temp_9': '26', 'temp_8': '26', 'temp_4': '25', 'temp_5': '26', 'temp_10': '26', 'ttime': '02.06.2019 19:29:17', 'temp_6': '25', 'temp_1': '25', 'temp_7': '25', 'temp_3': '25', 'temp_2': '25'}
{'Cond1': 1, 'Cond2': 0, 'temp_9': '26', 'temp_8': '26', 'temp_4': '25', 'temp_5': '26', 'temp_10': '26', 'ttime': '02.06.2019 19:29:17', 'temp_6': '25', 'temp_1': '25', 'temp_7': '25', 'temp_3': '25', 'temp_2': '25'}
{'Cond1': 1, 'Cond2': 0, 'temp_9': '26', 'temp_8': '26', 'temp_4': '25', 'temp_5': '26', 'temp_10': '26', 'ttime': '02.06.2019 19:29:17', 'temp_6': '25', 'temp_1': '25', 'temp_7': '25', 'temp_3': '25', 'temp_2': '25'}
{'Cond1': 1, 'Cond2': 1, 'temp_9': '26', 'temp_8': '26', 'temp_4': '25', 'temp_5': '26', 'temp_10': '26', 'ttime': '02.06.2019 19:29:17', 'temp_6': '25', 'temp_1': '25', 'temp_7': '25', 'temp_3': '25', 'temp_2': '25'}
{'Cond1': 1, 'Cond2': 1, 'temp_9': '26', 'temp_8': '26', 'temp_4': '25', 'temp_5': '26', 'temp_10': '26', 'ttime': '02.06.2019 19:29:17', 'temp_6': '25', 'temp_1': '25', 'temp_7': '25', 'temp_3': '25', 'temp_2': '25'}
{'Cond1': 1, 'Cond2': 0, 'temp_9': '26', 'temp_8': '26', 'temp_4': '25', 'temp_5': '26', 'temp_10': '26', 'ttime': '02.06.2019 19:29:17', 'temp_6': '25', 'temp_1': '25', 'temp_7': '25', 'temp_3': '25', 'temp_2': '25'}
{'Cond1': 1, 'Cond2': 0, 'temp_9': '26', 'temp_8': '26', 'temp_4': '25', 'temp_5': '26', 'temp_10': '26', 'ttime': '02.06.2019 19:29:17', 'temp_6': '25', 'temp_1': '25', 'temp_7': '25', 'temp_3': '25', 'temp_2': '25'}
{'Cond1': 1, 'Cond2': 0, 'temp_9': '26', 'temp_8': '26', 'temp_4': '25', 'temp_5': '26', 'temp_10': '26', 'ttime': '02.06.2019 19:29:17', 'temp_6': '25', 'temp_1': '25', 'temp_7': '25', 'temp_3': '25', 'temp_2': '25'}
{'Cond1': 1, 'Cond2': 0, 'temp_9': '26', 'temp_8': '26', 'temp_4': '25', 'temp_5': '26', 'temp_10': '26', 'ttime': '02.06.2019 19:29:17', 'temp_6': '25', 'temp_1': '25', 'temp_7': '25', 'temp_3': '25', 'temp_2': '25'}
{'Cond1': 0, 'Cond2': 1, 'temp_9': '26', 'temp_8': '26', 'temp_4': '25', 'temp_5': '26', 'temp_10': '26', 'ttime': '02.06.2019 19:29:17', 'temp_6': '25', 'temp_1': '25', 'temp_7': '25', 'temp_3': '25', 'temp_2': '25'}
{'Cond1': 0, 'Cond2': 0, 'temp_9': '26', 'temp_8': '26', 'temp_4': '25', 'temp_5': '26', 'temp_10': '26', 'ttime': '02.06.2019 19:39:18', 'temp_6': '25', 'temp_1': '25', 'temp_7': '25', 'temp_3': '25', 'temp_2': '25'}
{'Cond1': 0, 'Cond2': 0, 'temp_9': '26', 'temp_8': '26', 'temp_4': '25', 'temp_5': '26', 'temp_10': '26', 'ttime': '02.06.2019 19:39:18', 'temp_6': '25', 'temp_1': '25', 'temp_7': '25', 'temp_3': '25', 'temp_2': '25'}
{'Cond1': 0, 'Cond2': 0, 'temp_9': '26', 'temp_8': '26', 'temp_4': '25', 'temp_5': '26', 'temp_10': '26', 'ttime': '02.06.2019 19:39:18', 'temp_6': '25', 'temp_1': '25', 'temp_7': '25', 'temp_3': '25', 'temp_2': '25'}
{'Cond1': 0, 'Cond2': 0, 'temp_9': '26', 'temp_8': '26', 'temp_4': '25', 'temp_5': '26', 'temp_10': '26', 'ttime': '02.06.2019 19:39:18', 'temp_6': '25', 'temp_1': '25', 'temp_7': '25', 'temp_3': '25', 'temp_2': '25'}
{'Cond1': 0, 'Cond2': 1, 'temp_9': '26', 'temp_8': '26', 'temp_4': '25', 'temp_5': '26', 'temp_10': '26', 'ttime': '02.06.2019 19:39:18', 'temp_6': '25', 'temp_1': '25', 'temp_7': '25', 'temp_3': '25', 'temp_2': '25'}
{'Cond1': 0, 'Cond2': 0, 'temp_9': '26', 'temp_8': '26', 'temp_4': '25', 'temp_5': '26', 'temp_10': '26', 'ttime': '02.06.2019 19:39:18', 'temp_6': '25', 'temp_1': '25', 'temp_7': '25', 'temp_3': '25', 'temp_2': '25'}
{'Cond1': 1, 'Cond2': 0, 'temp_9': '26', 'temp_8': '26', 'temp_4': '25', 'temp_5': '26', 'temp_10': '26', 'ttime': '02.06.2019 19:39:18', 'temp_6': '25', 'temp_1': '25', 'temp_7': '25', 'temp_3': '25', 'temp_2': '25'}
{'Cond1': 1, 'Cond2': 1, 'temp_9': '26', 'temp_8': '26', 'temp_4': '25', 'temp_5': '26', 'temp_10': '26', 'ttime': '02.06.2019 19:39:18', 'temp_6': '25', 'temp_1': '25', 'temp_7': '25', 'temp_3': '25', 'temp_2': '25'}
{'Cond1': 0, 'Cond2': 0, 'temp_9': '26', 'temp_8': '26', 'temp_4': '25', 'temp_5': '26', 'temp_10': '26', 'ttime': '02.06.2019 19:39:18', 'temp_6': '25', 'temp_1': '25', 'temp_7': '25', 'temp_3': '25', 'temp_2': '25'}
{'Cond1': 0, 'Cond2': 0, 'temp_9': '26', 'temp_8': '26', 'temp_4': '25', 'temp_5': '26', 'temp_10': '26', 'ttime': '02.06.2019 19:39:18', 'temp_6': '25', 'temp_1': '25', 'temp_7': '25', 'temp_3': '25', 'temp_2': '25'}
{'Cond1': 1, 'Cond2': 1, 'temp_9': '26', 'temp_8': '26', 'temp_4': '25', 'temp_5': '26', 'temp_10': '26', 'ttime': '02.06.2019 19:39:18', 'temp_6': '25', 'temp_1': '25', 'temp_7': '25', 'temp_3': '25', 'temp_2': '25'}
{'Cond1': 1, 'Cond2': 1, 'temp_9': '26', 'temp_8': '26', 'temp_4': '25', 'temp_5': '26', 'temp_10': '26', 'ttime': '02.06.2019 19:39:18', 'temp_6': '25', 'temp_1': '25', 'temp_7': '25', 'temp_3': '25', 'temp_2': '25'}
{'Cond1': 0, 'Cond2': 0, 'temp_9': '26', 'temp_8': '26', 'temp_4': '25', 'temp_5': '26', 'temp_10': '26', 'ttime': '02.06.2019 19:39:18', 'temp_6': '25', 'temp_1': '25', 'temp_7': '25', 'temp_3': '25', 'temp_2': '25'}
{'Cond1': 1, 'Cond2': 1, 'temp_9': '26', 'temp_8': '26', 'temp_4': '25', 'temp_5': '26', 'temp_10': '26', 'ttime': '02.06.2019 19:39:18', 'temp_6': '25', 'temp_1': '25', 'temp_7': '25', 'temp_3': '25', 'temp_2': '25'}
{'Cond1': 1, 'Cond2': 0, 'temp_9': '26', 'temp_8': '26', 'temp_4': '25', 'temp_5': '26', 'temp_10': '26', 'ttime': '02.06.2019 19:39:18', 'temp_6': '25', 'temp_1': '25', 'temp_7': '25', 'temp_3': '25', 'temp_2': '25'}
